provincia_norm,capital,station_id,station_name,station_provincia
A_CORUNA,A Coruña,,,
ALAVA,Vitoria-Gasteiz,9091R,VITORIA-GASTEIZ AEROPUERTO,ARABA/ALAVA
ALBACETE,Albacete,8175,ALBACETE BASE AÉREA,ALBACETE
ALICANTE,Alicante,8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE
ALMERIA,Almería,6297,ALMERÍA,ALMERIA
ASTURIAS,Oviedo,1249I,OVIEDO,ASTURIAS
AVILA,Ávila,2444,ÁVILA,AVILA
BADAJOZ,Badajoz,4452,BADAJOZ AEROPUERTO,BADAJOZ
BARCELONA,Barcelona,0076,BARCELONA AEROPUERTO,BARCELONA
BURGOS,Burgos,2331,BURGOS AEROPUERTO,BURGOS
CACERES,Cáceres,3469,"CÁCERES, CIUDAD",CACERES
CADIZ,Cádiz,5973,CÁDIZ,CADIZ
CANTABRIA,Santander,1109,SANTANDER AEROPUERTO,CANTABRIA
CASTELLON,Castellón de la Plana,8439X,SEGORBE,CASTELLON
CEUTA,Ceuta,5000A,"CEUTA, MONTE HACHO",CEUTA
CIUDAD_REAL,Ciudad Real,,,
CORDOBA,Córdoba,5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA
CUENCA,Cuenca,8096,CUENCA,CUENCA
GIRONA,Girona,0367,GIRONA AEROPUERTO,GIRONA
GRANADA,Granada,5514,GRANADA BASE AÉREA,GRANADA
GUADALAJARA,Guadalajara,3168A,"GUADALAJARA, INSTITUTO",GUADALAJARA
GIPUZKOA,San Sebastián,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA
HUELVA,Huelva,4605,HUELVA,HUELVA
HUESCA,Huesca,9898,"HUESCA, AEROPUERTO",HUESCA
ILLES_BALEARS,Palma,,,
JAEN,Jaén,5270,"JAÉN, INSTITUTO",JAEN
LA_RIOJA,Logroño,,,
LAS_PALMAS,Las Palmas de Gran Canaria,,,
LEON,León,2661,"LEÓN, VIRGEN DEL CAMINO",LEON
LLEIDA,Lleida,9771,"LLEIDA, OBSERVATORIO",LLEIDA
LUGO,Lugo,1505,LUGO AEROPUERTO,LUGO
MADRID,Madrid,3126Y,"MADRID, EL GOLOSO",MADRID
MALAGA,Málaga,6155A,MÁLAGA AEROPUERTO,MALAGA
MELILLA,Melilla,6000A,MELILLA,MELILLA
MURCIA,Murcia,7020C,MURCIA AEROPUERTO,MURCIA
NAVARRA,Pamplona,9262,PAMPLONA,NAVARRA
OURENSE,Ourense,1690A,OURENSE,OURENSE
PALENCIA,Palencia,2401,"PALENCIA, OBSERVATORIO",PALENCIA
PONTEVEDRA,Pontevedra,1484,"PONTEVEDRA, INSTITUTO",PONTEVEDRA
SALAMANCA,Salamanca,2867,SALAMANCA AEROPUERTO,SALAMANCA
SANTA_CRUZ_DE_TENERIFE,Santa Cruz de Tenerife,,,
SEGOVIA,Segovia,2465,SEGOVIA,SEGOVIA
SEVILLA,Sevilla,5783,SEVILLA AEROPUERTO,SEVILLA
SORIA,Soria,2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",SORIA
TARRAGONA,Tarragona,0042Y,TARRAGONA ,TARRAGONA
TERUEL,Teruel,8368U,TERUEL,TERUEL
TOLEDO,Toledo,3259,"TOLEDO, LORENZANA",TOLEDO
VALENCIA,Valencia,8414A,VALENCIA AEROPUERTO,VALENCIA
VALLADOLID,Valladolid,2422,VALLADOLID,VALLADOLID
BIZKAIA,Bilbao,1082,BILBAO AEROPUERTO,BIZKAIA
ZAMORA,Zamora,2614,ZAMORA,ZAMORA
ZARAGOZA,Zaragoza,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA
