indicativo,provincia,nombre,latitud,longitud,altitud
B013X,ILLES BALEARS,"ESCORCA, LLUC",394924N,025309E,490
B051A,BALEARES,"SÓLLER, PUERTO",394744N,024129E,5
B087X,ILLES BALEARS,BANYALBUFAR,394121N,023046E,60
B103B,BALEARES,ANDRATX - SANT ELM,393446N,022208E,52
B158X,BALEARES,"CALVIÀ, ES CAPDELLÀ",393305N,022759E,50
B228,ILLES BALEARS,"PALMA, PUERTO",393315N,023731E,3
B236C,ILLES BALEARS,"PALMA, UNIVERSITAT",393832N,023838E,95
B248,ILLES BALEARS,"SIERRA DE ALFABIA, BUNYOLA",394406N,024247E,1030
B275E,BALEARES,"SON BONET, AEROPUERTO",393621N,024224E,47
B278,BALEARES,"PALMA DE MALLORCA, AEROPUERTO",393339N,024412E,5
B301,ILLES BALEARS,"LLUCMAJOR, CAP BLANC",392247N,024706E,113
B334X,ILLES BALEARS,LLUCMAJOR,392944N,025330E,140
B341X,ILLES BALEARS,PORRERES,393022N,030020E,149
B346X,ILLES BALEARS,PORRERES,393118N,030109E,120
B362X,ILLES BALEARS,"CAMPOS, CAN SION",392421N,030351E,40
B373X,ILLES BALEARS,"CAMPOS, SALINES LLEVANT",392104N,030043E,3
B398A,BALEARES,"CABRERA, PARQUE NACIONAL DE CABRERA",390808N,025612E,165
B410B,BALEARES,SANTANYÍ,392024N,030845E,45
B434X,ILLES BALEARS,PORTOCOLOM  ,392452N,031618E,17
B496X,ILLES BALEARS,SON SERVERA,393749N,032301E,25
B526X,ILLES BALEARS,ARTÀ,394119N,032104E,110
B569X,ILLES BALEARS,CAPDEPERA,394300N,032841E,57
B603X,ILLES BALEARS,ARTÀ-COLÒNIA DE SANT PERE,394323N,031643E,99
B605X,ILLES BALEARS,"MURO, S'ALBUFERA",394748N,030617E,2
B614E,ILLES BALEARS,MANACOR,393325N,031304E,100
B640X,BALEARES,PETRA,393659N,030716E,95
B644B,ILLES BALEARS,SINEU,393836N,030008E,120
B656A,BALEARES,SANTA MARÍA DEL CAMÍ,393909N,024801E,121
B662X,ILLES BALEARS,BINISSALEM,394041N,025226E,105
B684A,ILLES BALEARS,"ESCORCA, SON TORRELLA",394734N,024716E,842
B691,BALEARES,LA PUEBLA (SA CANOVA),394454N,030055E,40
B691Y,BALEARES,SA POBLA,394457N,030100E,32
B760X,ILLES BALEARS,POLLENÇA,395237N,030127E,45
B780X,ILLES BALEARS,PORT DE POLLENÇA,395434N,030601E,2
B800X,ILLES BALEARS,"LA MOLA, MAÓ",395234N,041926E,78
B825B,ILLES BALEARS,ES MERCADAL,395926N,040511E,80
B860X,ILLES BALEARS,CIUTADELLA,395934N,035114E,20
B870C,BALEARES,"CIUTADELLA, CALA GALDANA",395641N,035724E,43
B893,BALEARES,"MENORCA, AEROPUERTO",395117N,041256E,91
B908X,ILLES BALEARS,SANT JOAN DE LABRITJA,390322N,012933E,110
