date,axis,tipo_servicio,dow,week_iso,month,year,day,week_of_month,fin_de_mes,is_weekend,is_holiday,is_pre_holiday_1,is_pre_holiday_2,is_post_holiday_1,is_post_holiday_2,is_puente,dias_desde_holiday,dias_hasta_holiday,easter_week_rel,is_semana_santa,post_semana_santa,easter_day_of_year,temp_media_weighted,precip_weighted,viento_weighted,temp_media_weighted_roll3,temp_media_weighted_roll7,precip_weighted_roll3,precip_weighted_roll7,viento_weighted_roll3,viento_weighted_roll7,weather_source,weather_fallback,conteo_servicios_p50,conteo_servicios_p80,m3_out_p50,m3_out_p80,cajas_out_p50,cajas_out_p80,pales_out_p50,pales_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,m3_in_p50,m3_in_p80,cajas_in_p50,cajas_in_p80,pales_in_p50,pales_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,freq,conteo_movimientos_p50,conteo_movimientos_p80,unidades_movidas_p50,unidades_movidas_p80,skus_distintos_p50,skus_distintos_p80,workload_atribuible_movs_p50,workload_atribuible_movs_p80,workload_no_atribuible_movs_p50,workload_no_atribuible_movs_p80,picking_movs_p50,picking_movs_p80,picking_movs_atribuibles_p50,picking_movs_atribuibles_p80,picking_movs_atribuibles_entrega_p50,picking_movs_atribuibles_entrega_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80,picking_movs_esperados_desde_servicio_p50,picking_movs_esperados_desde_servicio_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,ratio_method,inbound_method,workload_expected_movs_p50,workload_expected_movs_p80,movimientos_esperados_desde_servicio_p50,movimientos_esperados_desde_servicio_p80
2026-03-19,service,desconocida,3.0,12.0,3.0,2026.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,3.834235923243336,5.274372531382756,54.0,216.0,3.0,12.0,88.27045725943672,1132.4604989939035,4.384368997622833,5.29958616581112,8.0,11.0,6.0,10.0,1150.7770457520023,2636.0325950122324,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-19,service,entrega,3.0,12.0,3.0,2026.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,18.0,24.0,19.58459096485522,44.06012582570041,450.0,1718.0,15.0,27.0,3374.164485948486,8199.049770904685,0.00459503785494151,0.37772158506554493,0.0,1.0,0.0,1.0,1.9035000228881835,75.22089274008464,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-19,service,mixto,3.0,12.0,3.0,2026.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,6.0,7.0,9.676408031563135,13.497950652878478,64.0,228.0,10.0,22.0,2057.7220954145346,5382.600393498852,3.7356561114528533,6.508720087242694,7.0,10.0,6.0,11.0,1099.9785681696756,2142.2187181919076,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-19,service,recogida,3.0,12.0,3.0,2026.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,3.0,5.0,0.12750148736181843,0.28183412441505873,0.0,2.0,0.0,1.0,0.8640859019102451,220.1926321170697,4.7774576794127945,9.876250355537431,8.0,12.0,6.0,13.0,1078.7257652645367,2614.2164056390325,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-20,service,desconocida,4.0,12.0,3.0,2026.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,13.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,3.9156552685010237,5.718905523150412,54.0,217.0,3.0,11.0,479.9139964286887,1284.94287680609,4.3355092325406615,4.481566749655021,8.0,13.0,5.0,10.0,1282.3369407715156,3104.2741600430236,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-20,service,entrega,4.0,12.0,3.0,2026.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,13.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,18.0,27.0,26.541847706623297,49.18808981616859,424.0,1719.0,18.0,32.0,4015.8032450804617,10127.93460507221,0.0,0.16266016752527127,0.0,1.0,0.0,1.0,0.0,40.136458720250104,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-20,service,mixto,4.0,12.0,3.0,2026.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,13.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,6.0,9.0,10.358022835272042,15.69589538663022,64.0,229.0,11.0,25.0,2583.6656558397226,5557.267701179918,3.9136572131536003,5.7351004566701205,7.0,12.0,5.0,12.0,1251.4164630407952,2549.551619126012,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-20,service,recogida,4.0,12.0,3.0,2026.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,13.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,4.0,7.0,0.31081324870084626,0.6408069437336565,0.0,3.0,0.0,1.0,19.64441750617439,154.62006297304134,5.439329192824287,9.332280596172795,8.0,15.0,6.0,14.0,1268.549231332415,2731.8412472969726,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-21,service,desconocida,5.0,12.0,3.0,2026.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,12.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,0.47525114359489246,2.6515175441304053,3.0,204.0,3.0,10.0,699.2281525288208,1727.213354582916,4.103888264220192,8.171648656445079,4.0,7.0,3.0,8.0,1594.7308392749055,3530.0359289287126,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-21,service,entrega,5.0,12.0,3.0,2026.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,12.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,3.0,6.0,1.281017484549165,9.563104417956097,4.0,1304.0,4.0,14.0,2082.0296281160895,3909.4892178169307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
