date,axis,tipo_servicio,dow,week_iso,month,year,day,week_of_month,fin_de_mes,is_weekend,is_holiday,is_pre_holiday_1,is_pre_holiday_2,is_post_holiday_1,is_post_holiday_2,is_puente,dias_desde_holiday,dias_hasta_holiday,easter_week_rel,is_semana_santa,post_semana_santa,easter_day_of_year,temp_media_weighted,precip_weighted,viento_weighted,temp_media_weighted_roll3,temp_media_weighted_roll7,precip_weighted_roll3,precip_weighted_roll7,viento_weighted_roll3,viento_weighted_roll7,weather_source,weather_fallback,conteo_servicios_p50,conteo_servicios_p80,m3_out_p50,m3_out_p80,cajas_out_p50,cajas_out_p80,pales_out_p50,pales_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,m3_in_p50,m3_in_p80,cajas_in_p50,cajas_in_p80,pales_in_p50,pales_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,freq,conteo_movimientos_p50,conteo_movimientos_p80,unidades_movidas_p50,unidades_movidas_p80,skus_distintos_p50,skus_distintos_p80,workload_atribuible_movs_p50,workload_atribuible_movs_p80,workload_no_atribuible_movs_p50,workload_no_atribuible_movs_p80,picking_movs_p50,picking_movs_p80,picking_movs_atribuibles_p50,picking_movs_atribuibles_p80,picking_movs_atribuibles_entrega_p50,picking_movs_atribuibles_entrega_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80
2026-03-23,service,desconocida,0,13,3,2026,23,4,0,0,0,0,0,0,0,0,76.0,10.0,-2,0,0,95,,,,,,,,,,missing,1,0.0,2.0,0.06629884109483264,1.9309277151439665,0.0,223.0,0.0,2.0,0.0,0.0,0.014972654720761326,0.014972654720761326,0.0,5.0,0.0,4.0,0.0,163.37998835727217,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,service,entrega,0,13,3,2026,23,4,0,0,0,0,0,0,0,0,76.0,10.0,-2,0,0,95,,,,,,,,,,missing,1,82.0,125.0,167.01508482525603,222.31502961155277,231.0,3546.0,124.0,175.0,38230.971673932225,50211.063232108994,0.40516801942628394,0.9025774840967763,1.0,90.0,1.0,25.0,0.0,1194.5444134943236,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,service,mixto,0,13,3,2026,23,4,0,0,0,0,0,0,0,0,76.0,10.0,-2,0,0,95,,,,,,,,,,missing,1,0.0,1.0,0.0,0.13939764643900623,0.0,38.0,0.0,1.0,0.0,71.71263044314998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,service,recogida,0,13,3,2026,23,4,0,0,0,0,0,0,0,0,76.0,10.0,-2,0,0,95,,,,,,,,,,missing,1,14.0,21.0,1.7118877782733675,13.363178086886451,3.0,633.0,3.0,7.0,190.23280031292904,449.9115762092246,68.47343544193173,104.1616040216822,47.0,154.0,60.0,78.0,17758.62619008999,31227.76999994774,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,service,desconocida,0,14,3,2026,30,5,0,0,0,0,0,0,0,0,83.0,3.0,-1,1,0,95,,,,,,,,,,missing,1,0.0,2.0,0.0,0.815560830800131,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,313.7788440861694,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,service,entrega,0,14,3,2026,30,5,0,0,0,0,0,0,0,0,83.0,3.0,-1,1,0,95,,,,,,,,,,missing,1,57.0,102.0,102.02862183069543,204.61280085356404,108.0,2039.0,102.0,145.0,33951.3458033443,33951.3458033443,0.0,0.0,0.0,43.0,0.0,6.0,0.0,624.5111569460884,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,service,mixto,0,14,3,2026,30,5,0,0,0,0,0,0,0,0,83.0,3.0,-1,1,0,95,,,,,,,,,,missing,1,0.0,1.0,0.0,0.07475730691300565,0.0,2.0,0.0,1.0,0.0,110.20452640661968,0.009589767333273156,0.1266621835875611,0.0,0.0,0.0,1.0,0.0,0.0,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,service,recogida,0,14,3,2026,30,5,0,0,0,0,0,0,0,0,83.0,3.0,-1,1,0,95,,,,,,,,,,missing,1,12.0,15.0,1.2808720156091127,8.724017757779729,2.0,29.0,3.0,4.0,241.00332696791241,241.00332696791241,40.61310061860659,77.30853032390837,29.0,97.0,33.0,43.0,14158.712883765606,26923.93300865452,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,service,desconocida,0,15,4,2026,6,1,0,0,0,0,0,0,0,0,3.0,25.0,0,1,0,95,,,,,,,,,,missing,1,0.0,1.0,0.8617299612593753,5.994564533658524,0.0,231.0,0.0,3.0,0.0,0.0,1.4625388374825827,2.3478117732005717,1.0,8.0,2.0,20.0,352.2069343492619,8218.891603592365,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,service,entrega,0,15,4,2026,6,1,0,0,0,0,0,0,0,0,3.0,25.0,0,1,0,95,,,,,,,,,,missing,1,78.0,112.0,201.2214093347579,303.417496874948,190.0,2406.0,192.0,235.0,59119.05004155329,74184.91475920474,4.4646007763682425,4.4646007763682425,3.0,67.0,3.0,20.0,0.0,6173.817550069579,weekly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
