codigo_norm,count_albaranes,count_movimientos
SGP202311766,1,296
EGE202313611,1,265
EGE202313314,1,263
EGE202314326,1,246
EGE202422003,1,237
EGE202315319,2,231
SGP202421618,1,215
EGE202419402,1,211
EGE202207714,1,204
SGP202315100,1,192
EGE202312152,1,185
EGE202419880,1,182
SGP202312806,1,177
EGE202207304,1,171
EGE202209317,1,166
EGE202312025,1,166
EGE202418612,1,156
EGE202419327,1,155
SGE202422003,1,149
SGE202207621,1,148
EGE202422670,1,145
SGE202313314,1,144
EGE202207916,1,141
SGE202314326,1,141
EGE202207621,1,136
EGE202209903,1,134
EGE202210308,1,134
EGE202421941,1,129
SGE202313611,1,129
EGE202209035,1,115
EGE202312356,1,113
SGE202419402,1,112
EGE202314394,1,109
EGE202209359,1,106
SGP202207265,1,104
SGP202312000,1,103
SGE202312025,1,102
SGP202207868,1,100
SGE202311893,1,97
EGE202210397,1,96
EGE202423295,1,96
SGE202419327,1,96
SGE202209035,1,94
EGE202314210,1,93
EGE202418137,1,92
EGE202207129,1,91
SGE202207714,1,91
SGP202316664,1,91
EGE202209420,1,90
EGE202206892,1,89
