dataset,original_value,codigo_raw,codigo_norm,fecha,codigo_source
albaranes,23,,,2023-05-01 00:00:00,descripcion
albaranes,24,,,2023-04-03 00:00:00,descripcion
albaranes,24375,,,2022-01-18 00:00:00,descripcion
albaranes,38886,,,2022-01-03 00:00:00,descripcion
albaranes,39470,,,2022-01-04 00:00:00,descripcion
albaranes,40274,,,2022-01-07 00:00:00,descripcion
albaranes,40277,,,2022-01-07 00:00:00,descripcion
albaranes,40507,,,2022-01-07 00:00:00,descripcion
albaranes,40525,,,2022-01-07 00:00:00,descripcion
albaranes,40616,,,2022-01-11 00:00:00,descripcion
albaranes,40625,,,2022-01-11 00:00:00,descripcion
albaranes,40631,,,2022-01-10 00:00:00,descripcion
albaranes,40634,,,2022-01-10 00:00:00,descripcion
albaranes,40635,,,2022-01-10 00:00:00,descripcion
albaranes,40650,,,2022-01-10 00:00:00,descripcion
albaranes,40651,,,2022-01-10 00:00:00,descripcion
albaranes,40652,,,2022-01-10 00:00:00,descripcion
albaranes,40653,,,2022-01-10 00:00:00,descripcion
albaranes,40654,,,2022-01-10 00:00:00,descripcion
albaranes,40655,,,2022-01-10 00:00:00,descripcion
albaranes,40656,,,2022-01-10 00:00:00,descripcion
albaranes,40657,,,2022-01-10 00:00:00,descripcion
albaranes,40658,,,2022-01-10 00:00:00,descripcion
albaranes,40670,,,2022-01-11 00:00:00,descripcion
albaranes,40673,,,2022-01-11 00:00:00,descripcion
movimientos,,,,2022-01-03 08:24:57,
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:25:01,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:31:38,pedido_externo
movimientos,,,,2022-01-03 08:35:22,
movimientos,,,,2022-01-03 08:35:22,
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:35:23,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:40:23,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:43:26,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:44:42,pedido_externo
movimientos,,,,2022-01-03 08:49:06,
movimientos,,,,2022-01-03 08:49:07,
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 08:49:08,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:00:41,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:04:48,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:06:44,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:07:27,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:08:06,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:08:57,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:13:55,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:15:54,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:36:24,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:38:42,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:39:47,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:43:27,pedido_externo
movimientos,SGE202205972,SGE202205972,SGE202205972,2022-01-03 09:45:33,pedido_externo
