urgencia,tipo_servicio_final,n_services,lead_time_pre_median,lead_time_pre_p80,lead_time_pre_p95,lead_time_post_median,lead_time_post_p80,lead_time_post_p95,urgencia_norm,tipo_servicio
DESCONOCIDA,entrega,1613,1.0,3.0,9.0,0.0,0.0,8.0,DESCONOCIDA,entrega
DESCONOCIDA,recogida,381,0.0,2.0,19.0,1.0,5.0,22.19999999999999,DESCONOCIDA,recogida
MUY_URGENTE,entrega,443,0.0,0.0,1.0,0.0,0.0,1.0,MUY_URGENTE,entrega
MUY_URGENTE,recogida,11,0.5,0.8,0.95,3.0,7.0,25.5,MUY_URGENTE,recogida
NO,entrega,9894,1.0,3.0,5.0,0.0,0.0,1.0,NO,entrega
NO,recogida,1820,0.0,1.0,3.0,1.0,2.0,6.0,NO,recogida
SI,entrega,1547,1.0,1.0,3.0,0.0,0.0,0.0,SI,entrega
SI,recogida,32,0.0,1.0,1.0,1.0,2.8000000000000007,14.449999999999985,SI,recogida
ALL,entrega,13497,1.0,3.0,6.0,0.0,0.0,1.0,ALL,entrega
ALL,recogida,2244,0.0,1.0,3.0,1.0,3.0,8.0,ALL,recogida
