axis,freq,target,model_path
service,daily,conteo_servicios,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_conteo_servicios.joblib
service,daily,m3_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_m3_out.joblib
service,daily,cajas_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_cajas_out.joblib
service,daily,pales_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_pales_out.joblib
service,daily,peso_facturable_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_peso_facturable_out.joblib
service,daily,m3_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_m3_in.joblib
service,daily,cajas_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_cajas_in.joblib
service,daily,pales_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_pales_in.joblib
service,daily,peso_facturable_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_daily_peso_facturable_in.joblib
workload,daily,conteo_movimientos,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_conteo_movimientos.joblib
workload,daily,unidades_movidas,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_unidades_movidas.joblib
workload,daily,skus_distintos,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_skus_distintos.joblib
workload,daily,workload_atribuible_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_workload_atribuible_movs.joblib
workload,daily,workload_no_atribuible_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_workload_no_atribuible_movs.joblib
workload,daily,picking_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_picking_movs.joblib
workload,daily,picking_movs_atribuibles,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_picking_movs_atribuibles.joblib
workload,daily,picking_movs_atribuibles_entrega,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_picking_movs_atribuibles_entrega.joblib
workload,daily,picking_movs_no_atribuibles,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_daily_picking_movs_no_atribuibles.joblib
service,weekly,conteo_servicios,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_conteo_servicios.joblib
service,weekly,m3_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_m3_out.joblib
service,weekly,cajas_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_cajas_out.joblib
service,weekly,pales_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_pales_out.joblib
service,weekly,peso_facturable_out,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_peso_facturable_out.joblib
service,weekly,m3_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_m3_in.joblib
service,weekly,cajas_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_cajas_in.joblib
service,weekly,pales_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_pales_in.joblib
service,weekly,peso_facturable_in,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\service_weekly_peso_facturable_in.joblib
workload,weekly,conteo_movimientos,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_conteo_movimientos.joblib
workload,weekly,unidades_movidas,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_unidades_movidas.joblib
workload,weekly,skus_distintos,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_skus_distintos.joblib
workload,weekly,workload_atribuible_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_workload_atribuible_movs.joblib
workload,weekly,workload_no_atribuible_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_workload_no_atribuible_movs.joblib
workload,weekly,picking_movs,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_picking_movs.joblib
workload,weekly,picking_movs_atribuibles,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_picking_movs_atribuibles.joblib
workload,weekly,picking_movs_atribuibles_entrega,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_picking_movs_atribuibles_entrega.joblib
workload,weekly,picking_movs_no_atribuibles,C:\Users\rdiezl\Desktop\proyecto\planificacion_logistica\models\workload_weekly_picking_movs_no_atribuibles.joblib
