periodo,source_system,n_registros,n_service_id_unicos,n_conflictos,n_duplicados_detectados,n_fallback_post_cutover
2021-03,legacy,1,1,0,0,0
2022-01,legacy,21,21,0,0,0
2022-02,legacy,23,23,0,0,0
2022-03,legacy,131,131,0,0,0
2022-04,legacy,290,290,0,0,0
2022-05,legacy,400,400,0,0,0
2022-06,legacy,452,452,0,0,0
2022-07,legacy,359,359,0,0,0
2022-08,legacy,245,245,0,0,0
2022-09,legacy,490,490,0,0,0
2022-10,legacy,489,489,0,0,0
2022-11,legacy,437,437,0,0,0
2022-12,legacy,533,533,0,0,0
2023-01,legacy,425,425,0,0,0
2023-02,legacy,328,328,0,0,0
2023-03,legacy,342,342,0,0,0
2023-04,legacy,342,342,0,0,0
2023-05,legacy,682,682,0,0,0
2023-06,legacy,590,590,0,0,0
2023-07,legacy,527,527,0,0,0
2023-08,legacy,287,287,0,0,0
2023-09,legacy,582,582,0,0,0
2023-10,legacy,643,643,0,0,0
2023-11,legacy,744,744,0,0,0
2023-12,legacy,480,480,0,0,0
2024-01,legacy,520,520,0,0,0
2024-02,legacy,607,607,0,0,0
2024-03,legacy,705,705,0,0,0
2024-04,legacy,599,599,0,0,0
2024-05,legacy,866,866,0,0,0
2024-06,legacy,834,834,0,0,0
2024-07,legacy,547,547,0,0,0
2024-08,legacy,349,349,0,0,0
2024-09,legacy,591,591,0,0,0
2024-10,legacy,712,712,0,0,0
2024-11,legacy,404,404,0,0,0
2024-12,legacy,349,349,0,0,0
2025-01,legacy,15,15,0,0,0
2025-01,operational,7,7,0,0,0
2025-02,operational,10,10,0,0,0
2025-03,legacy,2,2,0,0,0
2025-03,operational,16,16,0,0,0
2025-04,legacy,1,1,0,0,0
2025-04,operational,20,20,0,0,0
2025-05,operational,29,29,0,0,0
2025-06,operational,12,12,0,0,0
2025-07,operational,13,13,0,0,0
2025-08,operational,20,20,0,0,0
2025-09,operational,2,2,0,0,0
2025-10,operational,26,26,0,0,0
2025-11,operational,209,209,0,0,0
2025-12,legacy,1,1,0,0,0
2025-12,operational,180,180,0,0,0
2026-01,legacy,193,193,123,0,0
2026-01,operational,91,91,0,0,0
2026-02,legacy,505,505,87,0,0
2026-02,operational,301,301,0,0,0
2026-03,legacy_fallback_post_cutover,81,81,0,0,81
2026-03,operational,179,179,13,0,0
2026-04,legacy_fallback_post_cutover,2,2,0,0,2
2026-04,operational,33,33,1,0,0
2026-05,legacy_fallback_post_cutover,2,2,0,0,2
2026-05,operational,36,36,0,0,0
2026-06,legacy_fallback_post_cutover,2,2,0,0,2
2026-06,operational,30,30,0,0,0
2026-07,legacy_fallback_post_cutover,2,2,0,0,2
2026-07,operational,76,76,0,0,0
2026-08,legacy_fallback_post_cutover,2,2,0,0,2
2026-08,operational,9,9,0,0,0
2026-09,legacy_fallback_post_cutover,2,2,0,0,2
2026-09,operational,36,36,0,0,0
2026-10,legacy_fallback_post_cutover,2,2,0,0,2
2026-10,operational,37,37,0,0,0
2026-11,legacy_fallback_post_cutover,2,2,0,0,2
2026-11,operational,33,33,0,0,0
2026-12,legacy_fallback_post_cutover,1,1,0,0,1
2026-12,operational,40,40,0,0,0
