tipo_servicio,month,m3_out_por_evento,pales_out_por_evento,cajas_out_por_evento,peso_facturable_out_por_evento,m3_in_por_evento,pales_in_por_evento,cajas_in_por_evento,peso_facturable_in_por_evento
desconocida,1,2.175,6.0,6.25,972.7,8.25,8.25,5.5,3651.45
desconocida,2,3.105,4.0,8.0,482.5,5.5,6.5,4.0,2181.7
desconocida,3,2.0,2.0,3.0,135.0,4.45,7.5,19.0,675.0
desconocida,4,5.734999999999999,9.25,4.5,680.475,7.62,5.0,6.0,1233.75
desconocida,5,5.37,14.0,6.0,977.25,8.91,18.0,10.5,2754.75
desconocida,6,4.5,9.0,8.5,1150.2,16.4,52.0,20.0,9805.05
desconocida,7,3.3425,12.0,9.5,1701.725,9.375,16.0,8.0,4864.7
desconocida,8,0.0,5.0,3.0,4649.4,10.815,15.0,6.0,14490.9
desconocida,9,5.2,8.0,10.0,1255.1,15.0,13.0,12.5,6957.0
desconocida,10,5.0,9.0,10.0,877.5,10.1,28.0,15.5,2179.0
desconocida,11,3.0,3.0,3.0,202.5,7.08,6.0,9.0,698.5
desconocida,12,2.0,6.0,5.75,294.225,4.5,4.0,5.0,378.75
entrega,1,2.608695652173913,1.588235294117647,2.0,356.2882352941176,0.0,0.0,0.0,0.0
entrega,2,2.263387096774194,1.4444444444444444,2.9375,338.46363636363634,0.0,0.0,0.0,0.0
entrega,3,2.737857142857143,2.0,2.1200716845878134,413.0120512820513,0.0,0.0,0.0,0.0
entrega,4,2.7549404761904763,2.3605769230769234,2.1972222222222224,615.9362771739131,0.0,0.0,0.0,0.0
entrega,5,3.0547872340425535,2.272727272727273,1.4545454545454546,826.9346153846153,0.0,0.0,0.0,0.0
entrega,6,3.0473958333333333,2.2261904761904763,2.0,1125.182,0.0,0.0,0.0,0.0
entrega,7,2.506333333333333,1.6,1.8333333333333333,586.4916666666667,0.0,0.0,0.0,0.0
entrega,8,3.039473684210526,2.15,1.7692307692307692,663.6714285714286,0.0,0.0,0.0,0.0
entrega,9,3.4345238095238093,2.083916083916084,2.6153846153846154,887.765,0.0,0.0,0.0,0.0
entrega,10,2.9384615384615387,2.0,2.6,645.0,0.0,0.0,0.0,0.0
entrega,11,3.091222222222222,1.8308080808080809,2.076923076923077,670.7944444444445,0.0,0.0,0.0,0.0
entrega,12,2.0,1.6666666666666667,2.0277777777777777,308.84375,0.0,0.0,0.0,0.0
mixto,1,,,,,,,,
mixto,2,,,,,,,,
mixto,3,20.71,50.25,10.5,5051.647014925373,30.2725,52.25,16.5,17943.052985074628
mixto,4,,,,,,,,
mixto,5,,,,,,,,
mixto,6,,,,,,,,
mixto,7,,,,,,,,
mixto,8,,,,,,,,
mixto,9,,,,,,,,
mixto,10,,,,,,,,
mixto,11,,,,,,,,
mixto,12,,,,,,,,
recogida,1,0.0,0.0,0.0,0.0,6.625,3.6333333333333333,3.125,1478.3333333333335
recogida,2,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1642.5
recogida,3,0.0,0.0,0.0,0.0,3.175,3.5,2.0,908.9125
recogida,4,0.0,0.0,0.0,0.0,4.34,3.0,2.0,1618.076923076923
recogida,5,0.0,0.0,0.0,0.0,4.322857142857143,4.535714285714286,3.0,2068.625
recogida,6,0.0,0.0,0.0,0.0,4.572,5.568181818181818,3.55,2503.5333333333333
recogida,7,0.0,0.0,0.0,0.0,4.45,5.0,2.0773809523809526,2061.1719298245616
recogida,8,0.0,0.0,0.0,0.0,5.618333333333334,4.0,2.0,1906.625
recogida,9,0.0,0.0,0.0,0.0,4.641666666666667,7.45,2.8333333333333335,1998.3809523809523
recogida,10,0.0,0.0,0.0,0.0,3.62,8.0,4.35,1665.0
recogida,11,0.0,0.0,0.0,0.0,3.35,3.958333333333333,4.0,1651.00625
recogida,12,0.0,0.0,0.0,0.0,3.5,3.0,2.0,1084.05
