year,week_iso,week_start_date,week_end_date,salidas_forecast,salidas_2024,salidas_real_2026,recogidas_forecast,recogidas_2024,recogidas_real_2026,pick_lines_forecast,pick_lines_2024,pick_lines_real_2026,cutoff_date,forecast_snapshot_date,year_target,comparison_year
2026,1,2025-12-29,2026-01-04,0.0,7.0,4.0,0.0,3.0,2.0,0.0,17.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,2,2026-01-05,2026-01-11,0.0,83.0,10.0,0.0,12.0,2.0,0.0,179.0,40.0,2026-03-18,2026-03-18,2026,2024
2026,3,2026-01-12,2026-01-18,0.0,111.0,29.0,0.0,14.0,11.0,0.0,213.0,68.0,2026-03-18,2026-03-18,2026,2024
2026,4,2026-01-19,2026-01-25,0.0,130.0,89.0,0.0,19.0,33.0,0.0,412.0,392.0,2026-03-18,2026-03-18,2026,2024
2026,5,2026-01-26,2026-02-01,0.0,122.0,69.0,0.0,26.0,27.0,0.0,201.0,178.0,2026-03-18,2026-03-18,2026,2024
2026,6,2026-02-02,2026-02-08,0.0,90.0,116.0,0.0,16.0,26.0,0.0,233.0,204.0,2026-03-18,2026-03-18,2026,2024
2026,7,2026-02-09,2026-02-15,0.0,96.0,190.0,0.0,20.0,13.0,0.0,401.0,208.0,2026-03-18,2026-03-18,2026,2024
2026,8,2026-02-16,2026-02-22,0.0,141.0,227.0,0.0,35.0,16.0,0.0,327.0,301.0,2026-03-18,2026-03-18,2026,2024
2026,9,2026-02-23,2026-03-01,0.0,175.0,185.0,0.0,19.0,15.0,0.0,327.0,240.0,2026-03-18,2026-03-18,2026,2024
2026,10,2026-03-02,2026-03-08,0.0,120.0,60.0,0.0,20.0,19.0,0.0,615.0,134.0,2026-03-18,2026-03-18,2026,2024
2026,11,2026-03-09,2026-03-15,0.0,240.0,33.0,0.0,23.0,11.0,0.0,337.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,12,2026-03-16,2026-03-22,57.0,174.0,61.0,26.0,19.0,16.0,77.0,312.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,13,2026-03-23,2026-03-29,113.0,53.0,0.0,47.0,6.0,0.0,99.0,132.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,14,2026-03-30,2026-04-05,60.0,90.0,0.0,26.0,12.0,0.0,60.0,349.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,15,2026-04-06,2026-04-12,91.0,124.0,0.0,35.0,25.0,0.0,107.0,538.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,16,2026-04-13,2026-04-19,115.0,128.0,0.0,47.0,25.0,0.0,130.0,481.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,17,2026-04-20,2026-04-26,131.0,103.0,0.0,56.0,39.0,0.0,146.0,416.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,18,2026-04-27,2026-05-03,108.0,54.0,0.0,50.0,16.0,0.0,120.0,130.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,19,2026-05-04,2026-05-10,150.0,164.0,0.0,58.0,24.0,0.0,170.0,564.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,20,2026-05-11,2026-05-17,134.0,255.0,0.0,60.0,36.0,0.0,111.0,615.0,0.0,2026-03-18,2026-03-18,2026,2024
2026,21,2026-05-18,2026-05-24,0.0,66.0,0.0,0.0,18.0,0.0,0.0,410.0,0.0,2026-03-18,2026-03-18,2026,2024
