week_iso,year,week_start_date,week_end_date,picking_movs_esperados_desde_servicio_p50,picking_movs_esperados_desde_servicio_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80
11,2026,2026-03-09,2026-03-15,16.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2026,2026-03-16,2026-03-22,121.0,285.0,78.0,196.0,74.99891458982356,217.05997738687375,36.0,65.0,63.930230058990844,189.0807117947054,52.051505034308775,72.1929651111384
13,2026,2026-03-23,2026-03-29,116.0,283.0,96.0,224.0,134.4401021704954,364.443325002066,61.0,105.0,104.5776186741681,306.17439868590606,77.3831929695132,145.73860686984534
14,2026,2026-03-30,2026-04-05,72.0,201.0,44.0,109.0,91.18333587042198,227.20853090677926,43.0,70.0,71.1550103334954,192.03508238997784,46.241426142460256,94.28962874265164
15,2026,2026-04-06,2026-04-12,157.0,413.0,74.0,197.0,112.98308117278859,314.3038294574282,54.0,104.0,103.24728444702062,287.6638915201512,66.03941709112492,170.96216428407882
16,2026,2026-04-13,2026-04-19,178.0,434.0,103.0,232.0,163.24631717437998,462.7095153043366,50.0,89.0,152.2210457239243,421.4030360155531,94.39688895697881,148.3815881891426
17,2026,2026-04-20,2026-04-26,175.0,431.0,128.0,251.0,193.73482508346774,548.4461073155586,83.0,120.0,180.0245837579624,497.68363169030465,125.44467611507969,168.77684727870513
18,2026,2026-04-27,2026-05-03,128.0,345.0,113.0,221.0,178.24930222172338,519.9758647312049,86.0,121.0,175.36094702955634,481.9341927565151,116.97727820171426,147.63574833395973
19,2026,2026-05-04,2026-05-10,165.0,564.0,184.0,372.0,221.96934916582052,575.3626271428988,131.0,200.0,207.32615912079262,604.6856464004668,119.47352288827287,284.9349034301253
20,2026,2026-05-11,2026-05-17,26.0,378.0,141.0,253.0,158.61962742568068,444.25616679806956,87.0,143.0,165.01051259762679,513.055951333884,99.31034635534516,211.00551124459568
21,2026,2026-05-18,2026-05-24,0.0,102.0,9.0,15.0,10.494591860690088,28.685217752552965,8.0,12.0,16.778532110922313,43.62418348839803,7.627534140928427,11.078055678384484
