owner_scope,sku,denominacion,latest_period_type,latest_period,latest_abc_class,xyz_class,abc_xyz_class,latest_pick_lines,latest_pick_qty,latest_n_orders,latest_rank,mean_weekly_pick_lines,std_weekly_pick_lines,cv_weekly,n_weeks_observed,change_vs_prev_period,recommendation_tag
14,102156,CAMISETA ALGODÓNSFUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,10,93.0,10,1,0.2,0.4,2.0,10,A->A,KEEP_FRONT_FLEX
14,102183,CAMISETA T-M GRIS CHICA LOGO CENTRAL,ytd,2024-YTD,A,Z,AZ,8,75.0,8,2,0.16,0.41761226035642196,2.6100766272276372,7,A->A,KEEP_FRONT_FLEX
14,102155,CAMISETA ALGODÓN T8 FUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,8,49.0,8,3,0.16,0.36660605559646703,2.291287847477919,8,A->A,KEEP_FRONT_FLEX
14,071090,VASO CRISTAL DOBLE CAÑA MAHOU DESDE 1890,ytd,2024-YTD,A,Z,AZ,7,1310.0,7,4,0.14,0.4476605857119881,3.197575612228486,5,A->A,KEEP_FRONT_FLEX
14,103034,CAMISETA ALGODÓN LFUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,7,102.0,7,5,0.14,0.34698703145794935,2.4784787961282095,7,A->A,KEEP_FRONT_FLEX
14,102157,CAMISETA ALGODÓNMFUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,7,97.0,7,6,0.14,0.3469870314579492,2.478478796128208,7,A->A,KEEP_FRONT_FLEX
14,103035,CAMISETA ALGODÓN XL FUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,7,73.0,7,7,0.14,0.34698703145794935,2.4784787961282095,7,A->A,KEEP_FRONT_FLEX
14,102154,CAMISETA ALGODÓN T6 FUNDACIÓN VOLUNTARIO,ytd,2024-YTD,A,Z,AZ,7,55.0,7,8,0.14,0.34698703145794935,2.4784787961282095,7,A->A,KEEP_FRONT_FLEX
14,115141,CAMISETA T-S GRIS ERES LA CAÑA,ytd,2024-YTD,A,Z,AZ,7,50.0,7,9,0.14,0.34698703145794946,2.47847879612821,7,A->A,KEEP_FRONT_FLEX
14,031004,SILLA TERRAZA ROJA LAMAS MAHOU,ytd,2024-YTD,A,LOW_HISTORY,ALOW_HISTORY,6,76.0,2,10,0.12,0.6209669878504005,5.174724898753338,2,A->A,KEEP_FRONT_FLEX
