owner_scope,period_type,year,quarter,period_label,period_start_date,period_end_date,cutoff_date,sku,denominacion,pick_lines,pick_qty,n_orders,n_days_active,last_pick_date,share_pct,cumulative_pct,abc_class,rank_in_period,mean_weekly_pick_lines,std_weekly_pick_lines,cv_weekly,n_weeks_observed,xyz_class,abc_xyz_class
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,019080,TINTO DE VERANO CON LIMON CACHIS MARIANO,223,8052.0,219,14,2026-02-26,0.11736842105263158,0.11736842105263158,A,1,22.3,26.769572278988694,1.2004292501788651,5,Z,AZ
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,018428,"AGUA 50CL PLÁSTICO SOLAN 2025 CALCIO, MA",124,27531.7,83,32,2026-03-05,0.06526315789473684,0.18263157894736842,A,2,12.4,7.964923100695951,0.6423325081206411,9,Y,AY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,011110,CERVEZA 33CL MAHOU 5 ESTRELLAS  NUEVA IM,121,19910.16,97,31,2026-03-03,0.06368421052631579,0.2463157894736842,A,3,12.1,7.803204469959762,0.6448929314016332,8,Y,AY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,012012,CERVEZA 33CL ALHAMBRA RESERVA 1925 (5420,54,13297.08,32,20,2026-03-04,0.028421052631578948,0.27473684210526317,A,4,5.4,4.673328578219169,0.8654312181887349,8,Y,AY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,014012,"CERVEZA 33CL MAHOU TOSTADA 0,0 (2751)",53,4704.0,48,24,2026-03-04,0.027894736842105264,0.3026315789473684,A,5,5.3,4.775981574503821,0.9011285989629851,8,Y,AY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,011127,CERVEZA 33CL MAHOU RESERVA,37,5184.0,26,17,2026-03-03,0.019473684210526317,0.32210526315789473,A,6,3.7,3.034798181098704,0.8202157246212712,8,Y,AY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,124264,ESTUCHE MAHOU ¡VUELVEN LAS CAN MAHOU TAL,36,36.0,36,2,2026-02-23,0.018947368421052633,0.3410526315789474,A,7,3.6,9.25418824100742,2.5706078447242833,2,LOW_HISTORY,ALOW_HISTORY
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,016010,BARRIL 30L MAHOU 5 ESTRELLAS (1593),35,203.0,16,9,2026-02-25,0.018421052631578946,0.35947368421052633,A,8,3.5,5.554277630799526,1.5869364659427219,5,Z,AZ
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,018076,AGUA 50CL PLASTICO T.SOSTENIBLE RECICLAD,33,10064.32,20,12,2026-02-25,0.017368421052631578,0.3768421052631579,A,9,3.3,4.172529209005013,1.2644027906075799,5,Z,AZ
GLOBAL,ytd,2026,,2026-YTD,2026-01-01,2026-03-05,2026-03-05,014042,CERVEZA 33CL MAHOU SIN GLUTEN (1813) 202,33,2448.0,29,16,2026-03-02,0.017368421052631578,0.3942105263157895,A,10,3.3,3.4365680554879163,1.0413842592387625,8,Z,AZ
