owner_scope,period_type,period_label,year,quarter,period_start_date,period_end_date,cutoff_date,n_skus,n_skus_A,n_skus_B,n_skus_C,pct_pick_lines_A,pct_pick_lines_B,pct_pick_lines_C,top_sku,top_sku_pick_lines
14,quarterly,2022-Q1,2022,Q1,2022-01-13,2022-03-23,2022-03-23,75,1,37,37,0.041666666666666664,0.65,0.30833333333333335,083119,5
14,quarterly,2022-Q2,2022,Q2,2022-04-18,2022-06-27,2022-06-27,179,12,96,71,0.15736040609137056,0.6624365482233503,0.1802030456852792,133080,6
14,quarterly,2022-Q3,2022,Q3,2022-07-14,2022-09-16,2022-09-16,111,0,36,75,0.0,0.5370370370370371,0.46296296296296297,102181,4
14,annual,2022,2022,,2022-01-01,2022-12-15,2022-12-15,263,69,107,87,0.534688995215311,0.361244019138756,0.10406698564593302,129059,13
14,quarterly,2022-Q4,2022,Q4,2022-10-15,2022-12-15,2022-12-15,102,0,43,59,0.0,0.63125,0.36875,144011,4
14,quarterly,2023-Q1,2023,Q1,2023-01-11,2023-03-03,2023-03-03,51,0,22,29,0.0,0.6666666666666666,0.3333333333333333,103132,4
14,quarterly,2023-Q2,2023,Q2,2023-04-25,2023-06-27,2023-06-27,148,1,49,98,0.025974025974025976,0.5497835497835498,0.42424242424242425,061005,6
14,quarterly,2023-Q3,2023,Q3,2023-07-06,2023-09-29,2023-09-29,77,1,19,57,0.06481481481481481,0.4074074074074074,0.5277777777777778,031046,7
14,annual,2023,2023,,2023-01-01,2023-12-18,2023-12-18,337,44,100,193,0.4058898847631242,0.34699103713188223,0.2471190781049936,031046,16
14,quarterly,2023-Q4,2023,Q4,2023-10-02,2023-12-18,2023-12-18,208,10,63,135,0.19718309859154928,0.4225352112676056,0.38028169014084506,031046,9
14,quarterly,2024-Q1,2024,Q1,2024-01-17,2024-03-20,2024-03-20,41,0,5,36,0.0,0.23404255319148937,0.7659574468085106,071074,3
14,quarterly,2024-Q2,2024,Q2,2024-04-04,2024-06-27,2024-06-27,94,1,32,61,0.0425531914893617,0.524822695035461,0.4326241134751773,071090,6
14,quarterly,2024-Q3,2024,Q3,2024-07-03,2024-09-26,2024-09-26,79,0,10,69,0.0,0.26595744680851063,0.7340425531914894,031019,4
14,annual,2024,2024,,2024-01-01,2024-12-12,2024-12-12,270,17,100,153,0.2173076923076923,0.48846153846153845,0.29423076923076924,102156,10
14,quarterly,2024-Q4,2024,Q4,2024-10-08,2024-12-12,2024-12-12,160,3,49,108,0.06722689075630252,0.4789915966386555,0.453781512605042,091006,6
14,ytd,2024-YTD,2024,,2024-01-01,2024-12-12,2024-12-12,270,17,100,153,0.2173076923076923,0.48846153846153845,0.29423076923076924,102156,10
23,quarterly,2022-Q1,2022,Q1,2022-01-10,2022-03-31,2022-03-31,136,23,47,66,0.6636851520572451,0.2182468694096601,0.11806797853309481,011014,122
23,quarterly,2022-Q2,2022,Q2,2022-04-01,2022-06-30,2022-06-30,202,54,60,88,0.7648202137998056,0.14965986394557823,0.08551992225461613,011014,196
23,quarterly,2022-Q3,2022,Q3,2022-07-01,2022-09-30,2022-09-30,574,40,77,457,0.4496253122398002,0.16985845129059118,0.38051623646960864,011014,187
23,annual,2022,2022,,2022-01-01,2022-12-30,2022-12-30,732,120,117,495,0.7838569880823402,0.08206933911159263,0.13407367280606716,011014,807
23,quarterly,2022-Q4,2022,Q4,2022-10-01,2022-12-30,2022-12-30,153,34,54,65,0.7685492801771872,0.15946843853820597,0.07198228128460686,011014,302
23,quarterly,2023-Q1,2023,Q1,2023-01-02,2023-03-31,2023-03-31,136,21,55,60,0.6211849192100538,0.2710951526032316,0.10771992818671454,011014,137
23,quarterly,2023-Q2,2023,Q2,2023-04-03,2023-06-29,2023-06-29,278,55,90,133,0.6901893287435457,0.19535283993115318,0.1144578313253012,124232,118
23,quarterly,2023-Q3,2023,Q3,2023-07-03,2023-09-30,2023-09-30,176,27,53,96,0.578853046594982,0.24910394265232974,0.17204301075268819,011014,83
23,annual,2023,2023,,2023-01-01,2023-12-28,2023-12-28,447,111,152,184,0.800935203740815,0.13760855043420173,0.0614562458249833,011014,382
23,quarterly,2023-Q4,2023,Q4,2023-10-02,2023-12-28,2023-12-28,182,39,72,71,0.6359832635983264,0.2649930264993027,0.09902370990237098,011014,50
23,quarterly,2024-Q1,2024,Q1,2024-01-02,2024-03-27,2024-03-27,160,32,39,89,0.7851605758582503,0.11627906976744186,0.09856035437430787,124255,158
23,quarterly,2024-Q2,2024,Q2,2024-04-01,2024-06-28,2024-06-28,268,55,94,119,0.7266666666666667,0.18518518518518517,0.08814814814814814,124261,120
23,quarterly,2024-Q3,2024,Q3,2024-07-01,2024-09-30,2024-09-30,384,40,84,260,0.4383720930232558,0.2593023255813954,0.3023255813953488,033051,19
23,annual,2024,2024,,2024-01-01,2024-12-30,2024-12-30,603,126,160,317,0.8001615943980609,0.11446269862644762,0.08537570697549152,124255,159
23,quarterly,2024-Q4,2024,Q4,2024-10-01,2024-12-30,2024-12-30,145,42,48,55,0.705,0.20333333333333334,0.09166666666666666,011110,40
23,annual,2026,2026,,2026-01-01,2026-03-05,2026-03-05,94,14,17,63,0.6516129032258065,0.14516129032258066,0.2032258064516129,011110,40
23,quarterly,2026-Q1,2026,Q1,2026-01-05,2026-03-05,2026-03-05,94,14,17,63,0.6516129032258065,0.14516129032258066,0.2032258064516129,011110,40
23,ytd,2026-YTD,2026,,2026-01-01,2026-03-05,2026-03-05,94,14,17,63,0.6516129032258065,0.14516129032258066,0.2032258064516129,011110,40
24,quarterly,2022-Q1,2022,Q1,2022-01-03,2022-03-31,2022-03-31,65,18,23,24,0.7694369973190348,0.16621983914209115,0.064343163538874,022053,62
24,quarterly,2022-Q2,2022,Q2,2022-04-04,2022-06-30,2022-06-30,156,36,54,66,0.8026412325752018,0.1474688187820983,0.049889948642699924,031047,165
24,quarterly,2022-Q3,2022,Q3,2022-07-01,2022-09-30,2022-09-30,141,39,55,47,0.7889908256880734,0.16106014271151886,0.04994903160040775,031047,106
24,annual,2022,2022,,2022-01-01,2022-12-27,2022-12-27,282,46,104,132,0.8026355196166517,0.14764899670560047,0.04971548367774783,022053,342
24,quarterly,2022-Q4,2022,Q4,2022-10-03,2022-12-27,2022-12-27,134,30,43,61,0.7122186495176849,0.18971061093247588,0.09807073954983923,022053,102
24,quarterly,2023-Q1,2023,Q1,2023-01-04,2023-03-29,2023-03-29,95,17,30,48,0.608433734939759,0.2469879518072289,0.14457831325301204,022053,68
24,quarterly,2023-Q2,2023,Q2,2023-04-03,2023-06-30,2023-06-30,167,47,55,65,0.7900990099009901,0.14554455445544554,0.06435643564356436,022053,81
24,quarterly,2023-Q3,2023,Q3,2023-07-03,2023-09-29,2023-09-29,165,43,50,72,0.791380999020568,0.13809990205680706,0.07051909892262488,031045,130
24,annual,2023,2023,,2023-01-01,2023-12-29,2023-12-29,342,68,121,153,0.8018741633199464,0.1469210174029451,0.05120481927710843,022053,251
24,quarterly,2023-Q4,2023,Q4,2023-10-02,2023-12-29,2023-12-29,157,31,53,73,0.6688,0.2144,0.1168,022053,55
24,quarterly,2024-Q1,2024,Q1,2024-01-02,2024-03-22,2024-03-22,91,21,23,47,0.6360655737704918,0.2098360655737705,0.1540983606557377,022053,23
24,quarterly,2024-Q2,2024,Q2,2024-04-01,2024-06-28,2024-06-28,231,63,84,84,0.7752100840336135,0.16596638655462184,0.058823529411764705,031047,131
24,quarterly,2024-Q3,2024,Q3,2024-07-01,2024-09-30,2024-09-30,175,41,54,80,0.7533039647577092,0.15859030837004406,0.0881057268722467,031045,101
24,annual,2024,2024,,2024-01-01,2024-12-26,2024-12-26,402,96,142,164,0.8005891016200295,0.1499263622974963,0.049484536082474224,031045,275
24,quarterly,2024-Q4,2024,Q4,2024-10-01,2024-12-26,2024-12-26,153,48,37,68,0.7824933687002652,0.1273209549071618,0.09018567639257294,031045,64
24,annual,2026,2026,,2026-01-01,2026-02-27,2026-02-27,4,0,0,4,0.0,0.0,1.0,011110,1
24,quarterly,2026-Q1,2026,Q1,2026-01-19,2026-02-27,2026-02-27,4,0,0,4,0.0,0.0,1.0,011110,1
24,ytd,2026-YTD,2026,,2026-01-01,2026-02-27,2026-02-27,4,0,0,4,0.0,0.0,1.0,011110,1
29,quarterly,2022-Q1,2022,Q1,2022-01-05,2022-03-31,2022-03-31,51,12,12,27,0.7319148936170212,0.15319148936170213,0.1148936170212766,011014,60
29,quarterly,2022-Q2,2022,Q2,2022-04-04,2022-06-30,2022-06-30,56,14,30,12,0.6159695817490495,0.33840304182509506,0.045627376425855515,011014,49
29,quarterly,2022-Q3,2022,Q3,2022-07-01,2022-09-30,2022-09-30,57,18,20,19,0.7370242214532872,0.1972318339100346,0.0657439446366782,011014,54
