sku,prev_abc_class,prev_xyz_class,prev_abc_xyz_class,prev_rank,curr_abc_class,curr_xyz_class,curr_abc_xyz_class,curr_rank,owner_scope,period_type,prev_period,curr_period,class_change,abc_xyz_change,rank_delta,movement_direction
133053,A,Z,AZ,120,B,LOW_HISTORY,BLOW_HISTORY,187,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-67,down
124211,A,LOW_HISTORY,ALOW_HISTORY,119,B,LOW_HISTORY,BLOW_HISTORY,199,14,annual,2022,2023,A->B,ALOW_HISTORY->BLOW_HISTORY,-80,down
103114,A,LOW_HISTORY,ALOW_HISTORY,134,B,LOW_HISTORY,BLOW_HISTORY,219,14,annual,2022,2023,A->B,ALOW_HISTORY->BLOW_HISTORY,-85,down
124207,A,Z,AZ,112,B,LOW_HISTORY,BLOW_HISTORY,198,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-86,down
112024,A,Z,AZ,123,B,LOW_HISTORY,BLOW_HISTORY,210,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-87,down
103102,A,Z,AZ,93,B,LOW_HISTORY,BLOW_HISTORY,201,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-108,down
166033,A,Z,AZ,73,B,LOW_HISTORY,BLOW_HISTORY,182,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-109,down
114014,A,Z,AZ,77,B,LOW_HISTORY,BLOW_HISTORY,186,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-109,down
086103,A,Z,AZ,80,B,LOW_HISTORY,BLOW_HISTORY,193,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-113,down
102205,A,Z,AZ,114,B,LOW_HISTORY,BLOW_HISTORY,253,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-139,down
141138,A,Z,AZ,60,B,LOW_HISTORY,BLOW_HISTORY,200,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-140,down
103134,A,Z,AZ,62,B,LOW_HISTORY,BLOW_HISTORY,204,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-142,down
102507,A,Z,AZ,109,B,LOW_HISTORY,BLOW_HISTORY,254,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-145,down
113049,A,Z,AZ,39,B,LOW_HISTORY,BLOW_HISTORY,197,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-158,down
084052,A,Z,AZ,90,B,LOW_HISTORY,BLOW_HISTORY,248,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-158,down
087036,A,Z,AZ,128,B,LOW_HISTORY,BLOW_HISTORY,288,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-160,down
113047,A,Z,AZ,95,B,LOW_HISTORY,BLOW_HISTORY,298,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-203,down
086104,A,Z,AZ,63,B,LOW_HISTORY,BLOW_HISTORY,286,14,annual,2022,2023,A->B,AZ->BLOW_HISTORY,-223,down
133056,A,Z,AZ,33,C,LOW_HISTORY,CLOW_HISTORY,303,14,annual,2022,2023,A->C,AZ->CLOW_HISTORY,-270,down
091006,A,LOW_HISTORY,ALOW_HISTORY,129,A,Z,AZ,3,14,annual,2022,2023,A->A,ALOW_HISTORY->AZ,126,stable
115142,A,LOW_HISTORY,ALOW_HISTORY,125,A,Z,AZ,21,14,annual,2022,2023,A->A,ALOW_HISTORY->AZ,104,stable
103133,A,Z,AZ,113,A,Z,AZ,11,14,annual,2022,2023,A->A,AZ->AZ,102,stable
103122,A,LOW_HISTORY,ALOW_HISTORY,122,A,Z,AZ,20,14,annual,2022,2023,A->A,ALOW_HISTORY->AZ,102,stable
103036,A,Z,AZ,121,A,Z,AZ,29,14,annual,2022,2023,A->A,AZ->AZ,92,stable
103132,A,LOW_HISTORY,ALOW_HISTORY,94,A,Z,AZ,8,14,annual,2022,2023,A->A,ALOW_HISTORY->AZ,86,stable
