segment,sku_a,sku_b,ubicacion_a,ubicacion_b,aisle_gap,count_pair,savings_index
82,022199,065072,200-040-00,014-016-30,186,121,22506.0
82,022199,126105,200-040-00,019-141-40,181,106,19186.0
82,022199,084099,200-040-00,012-050-20,188,87,16356.0
82,022199,204082,200-040-00,021-103-00,179,87,15573.0
82,022199,202068,200-040-00,020-098-00,180,86,15480.0
82,031149,065072,200-045-00,014-016-30,186,74,13764.0
82,031149,126105,200-045-00,019-141-40,181,64,11584.0
82,031149,084099,200-045-00,012-050-20,188,61,11468.0
4,121059,146027,400-001-00,012-032-40,388,27,10476.0
4,121060,146027,400-001-00,012-032-40,388,27,10476.0
4,121059,129015,400-001-00,013-051-30,387,26,10062.0
4,121060,129015,400-001-00,013-051-30,387,26,10062.0
82,031149,202068,200-045-00,020-098-00,180,53,9540.0
82,031156,065072,200-040-00,014-016-30,186,43,7998.0
82,031149,204082,200-045-00,021-103-00,179,42,7518.0
82,022199,129079,200-040-00,015-009-40,185,39,7215.0
82,031156,126105,200-040-00,019-141-40,181,39,7059.0
82,031149,129079,200-045-00,015-009-40,185,27,4995.0
82,031156,204082,200-040-00,021-103-00,179,27,4833.0
82,031156,084042,200-040-00,012-109-40,188,23,4324.0
90,011110,129122,015-013-20,400-001-00,385,11,4235.0
82,022181,031156,008-043-40,200-040-00,192,22,4224.0
82,031156,084099,200-040-00,012-050-20,188,22,4136.0
82,022199,084042,200-040-00,012-109-40,188,20,3760.0
82,022199,204096,200-040-00,015-083-00,185,20,3700.0
82,022199,072090,200-040-00,012-083-40,188,19,3572.0
82,031149,204096,200-045-00,015-083-00,185,18,3330.0
82,022199,202069,200-040-00,019-107-00,181,18,3258.0
82,031156,202068,200-040-00,020-098-00,180,18,3240.0
82,031156,202062,200-040-00,010-112-00,190,17,3230.0
3,093045,143022,200-016-00,014-111-20,186,17,3162.0
3,125088,203068,400-001-00,013-046-20,387,8,3096.0
3,123011,125087,013-065-30,400-001-00,387,8,3096.0
3,123011,125088,013-065-30,400-001-00,387,8,3096.0
3,063007,125087,014-119-40,400-001-00,386,8,3088.0
3,063007,125088,014-119-40,400-001-00,386,8,3088.0
3,063014,125087,014-001-30,400-001-00,386,8,3088.0
3,063014,125088,014-001-30,400-001-00,386,8,3088.0
82,022179,031148,015-152-30,200-029-00,185,16,2960.0
3,093045,167006,200-016-00,015-002-20,185,16,2960.0
3,012012,093045,015-007-40,200-016-00,185,16,2960.0
82,031149,072090,200-045-00,012-083-40,188,15,2820.0
3,012040,093045,015-045-10,200-016-00,185,15,2775.0
3,102213,125087,011-044-06,400-001-00,389,7,2723.0
3,102213,125088,011-044-06,400-001-00,389,7,2723.0
3,086009,125087,011-058-06,400-001-00,389,7,2723.0
3,086009,125088,011-058-06,400-001-00,389,7,2723.0
3,032042,125087,012-020-40,400-001-00,388,7,2716.0
3,032042,125088,012-020-40,400-001-00,388,7,2716.0
3,023074,125087,012-021-20,400-001-00,388,7,2716.0
3,086096,125087,012-051-08,400-001-00,388,7,2716.0
3,023074,125088,012-021-20,400-001-00,388,7,2716.0
3,086096,125088,012-051-08,400-001-00,388,7,2716.0
3,125087,203068,400-001-00,013-046-20,387,7,2709.0
3,031050,125087,013-007-10,400-001-00,387,7,2709.0
3,031050,125088,013-007-10,400-001-00,387,7,2709.0
3,063009,125087,014-046-20,400-001-00,386,7,2702.0
3,063009,125088,014-046-20,400-001-00,386,7,2702.0
3,096001,125087,019-158-00,400-001-00,381,7,2667.0
3,096001,125088,019-158-00,400-001-00,381,7,2667.0
82,031149,131142,200-045-00,010-096-20,190,14,2660.0
82,022199,131142,200-040-00,010-096-20,190,14,2660.0
