pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202311893,10,67,50,10,10.0,1
SGP202209938,10,38,5,10,10.0,1
SGE202206892,9,57,40,9,9.0,1
SGP202417260,9,16,16,9,9.0,1
SGE202312840,9,12,11,9,9.0,1
SGE202312356,8,56,41,8,8.0,1
SGP202312794,8,37,16,8,8.0,1
SGE202315416,8,28,24,8,8.0,1
SGE202418181,8,20,19,8,8.0,1
SGE202417154,8,19,17,8,8.0,1
SGE202207248,7,68,52,7,7.0,1
SGE202210489,7,47,26,7,7.0,1
SGE202205985,7,40,37,7,7.0,1
SGE202316631,7,31,19,7,7.0,1
SGE202418914,7,28,16,7,7.0,1
SGE202420129,7,28,11,7,7.0,1
SGE202209459,7,27,17,7,7.0,1
SGE202208275,7,22,18,7,7.0,1
SGE202624606,7,21,18,7,7.0,1
SGE202419399,7,20,17,7,7.0,1
SGE202314225,7,13,13,7,7.0,1
SGE202315312,7,10,10,7,7.0,1
SGE202417856,7,10,10,7,7.0,1
SGE202206863,6,48,35,6,6.0,1
SGE202315945,6,37,20,6,6.0,1
SGE202311503,6,33,28,6,6.0,1
SGE202313155,6,33,26,6,6.0,1
SGE202421223,6,33,21,6,6.0,1
SGE202422741,6,33,27,6,6.0,1
SGE202422889,6,32,18,6,6.0,1
SGE202208244,6,31,27,6,6.0,1
SGE202315867,6,31,26,6,6.0,1
SGE202420076,6,30,17,6,6.0,1
SGE202624493,6,28,12,6,6.0,1
SGE202624583,6,25,22,6,6.0,1
SGE202206874,6,24,23,6,6.0,1
SGE202312992,6,23,15,6,6.0,1
SGE202421916,6,23,17,6,6.0,1
SGE202417333,6,22,12,6,6.0,1
SGE202423169,6,22,11,6,6.0,1
SGE202420247,6,21,17,6,6.0,1
SGE202311217,6,20,18,6,6.0,1
SGE202313852,6,20,14,6,6.0,1
SGE202422502,6,20,15,6,6.0,1
SGE202422641,6,20,19,6,6.0,1
SGE202207489,6,18,11,6,6.0,1
SGE202315038,6,18,11,6,6.0,1
SGE202315334,6,17,15,6,6.0,1
SGE202315892,6,17,14,6,6.0,1
SGE202417557,6,17,15,6,6.0,1
SGE202422180,6,17,14,6,6.0,1
SGE202420411,6,16,12,6,6.0,1
SGE202316812,6,15,14,6,6.0,1
SGE202417758,6,14,13,6,6.0,1
SGE202422557,6,14,13,6,6.0,1
SGE202422907,6,14,13,6,6.0,1
SGE202423374,6,13,13,6,6.0,1
SGE202417882,6,11,9,6,6.0,1
SGE202314424,6,9,9,6,6.0,1
SGP202312792,6,7,7,6,6.0,1
SGE202314394,6,6,5,6,6.0,1
SGE202312133,5,73,44,5,5.0,1
SGE202207405,5,59,34,5,5.0,1
SGE202418712,5,54,32,5,5.0,1
SGE202210543,5,47,33,5,5.0,1
SGE202207887,5,44,32,5,5.0,1
SGE202209420,5,42,24,5,5.0,1
SGE202206789,5,38,11,5,5.0,1
SGE202313137,5,35,31,5,5.0,1
SGE202314403,5,33,23,5,5.0,1
SGE202316705,5,33,33,5,5.0,1
SGE202423287,5,31,14,5,5.0,1
SGE202423422,5,30,26,5,5.0,1
SGE202312666,5,29,24,5,5.0,1
SGE202417589,5,28,9,5,5.0,1
SGE202420967,5,28,20,5,5.0,1
SGP202209351,5,28,16,5,5.0,1
SGE202422834,5,27,20,5,5.0,1
SGE202624642,5,27,23,5,5.0,1
SGE202421135,5,26,20,5,5.0,1
SGE202419822,5,24,19,5,5.0,1
SGE202207955,5,23,22,5,5.0,1
SGE202313328,5,23,17,5,5.0,1
SGE202316249,5,23,19,5,5.0,1
SGE202422670,5,22,18,5,5.0,1
SGE202209172,5,21,19,5,5.0,1
SGE202315213,5,20,17,5,5.0,1
SGE202316914,5,20,15,5,5.0,1
SGE202422731,5,20,14,5,5.0,1
SGE202206764,5,19,16,5,5.0,1
SGE202418250,5,19,16,5,5.0,1
SGE202209255,5,18,15,5,5.0,1
SGE202210650,5,18,16,5,5.0,1
SGE202417588,5,18,9,5,5.0,1
SGE202420012,5,18,15,5,5.0,1
SGE202311697,5,17,17,5,5.0,1
SGE202313316,5,17,15,5,5.0,1
SGE202421902,5,17,11,5,5.0,1
SGE202419430,5,16,10,5,5.0,1
SGE202421379,5,16,9,5,5.0,1
SGE202422139,5,16,11,5,5.0,1
SGE202315455,5,15,14,5,5.0,1
SGE202207541,5,14,14,5,5.0,1
SGE202315635,5,14,11,5,5.0,1
SGE202422312,5,14,13,5,5.0,1
SGE202210021,5,13,11,5,5.0,1
SGE202314461,5,13,11,5,5.0,1
SGE202417311,5,13,9,5,5.0,1
SGE202417798,5,13,11,5,5.0,1
SGP202315768,5,13,8,5,5.0,1
SGE202209626,5,12,11,5,5.0,1
SGE202312863,5,12,7,5,5.0,1
SGE202420249,5,12,7,5,5.0,1
SGE202207681,5,11,9,5,5.0,1
SGE202207954,5,11,5,5,5.0,1
SGE202312539,5,11,10,5,5.0,1
SGE202422010,5,11,7,5,5.0,1
SGP202209279,5,11,10,5,5.0,1
SGP202422706,5,11,11,5,5.0,1
SGE202311506,5,10,8,5,5.0,1
SGE202312991,5,10,10,5,5.0,1
SGE202316707,5,10,10,5,5.0,1
SGE202417507,5,10,9,5,5.0,1
SGE202421162,5,10,8,5,5.0,1
SGP202417991,5,10,10,5,5.0,1
SGE202209517,5,9,6,5,5.0,1
SGE202311969,5,9,7,5,5.0,1
SGE202312191,5,9,8,5,5.0,1
SGE202421068,5,9,9,5,5.0,1
SGE202421454,5,9,5,5,5.0,1
SGP202312774,5,9,6,5,5.0,1
SGE202209222,5,8,7,5,5.0,1
SGE202313281,5,8,6,5,5.0,1
SGE202316563,5,8,6,5,5.0,1
SGE202419983,5,8,6,5,5.0,1
SGE202420246,5,8,8,5,5.0,1
SGE202420316,5,8,7,5,5.0,1
SGE202206935,5,7,6,5,5.0,1
SGE202312357,5,7,6,5,5.0,1
SGP202206640,5,7,7,5,5.0,1
SGP202419373,5,7,7,5,5.0,1
SGP202420603,5,6,3,5,5.0,1
SGP202422375,5,6,6,5,5.0,1
SGP202624687,5,5,1,5,5.0,1
SGE202422003,4,149,116,4,4.0,1
SGE202419402,4,111,83,4,4.0,1
SGE202419327,4,96,33,4,4.0,1
SGE202312131,4,76,24,4,4.0,1
SGE202421941,4,71,58,4,4.0,1
