segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,019056,019057,1,1,0.005155287312963662,1.0,193.97560975609755,41,7953
ALL,019057,019056,1,1,0.005155287312963662,1.0,193.97560975609755,41,7953
ALL,012056,012054,1,1,0.005029548598013328,0.975609756097561,184.73867595818817,40,7953
ALL,012054,012056,1,1,0.005029548598013328,0.9523809523809524,184.73867595818817,40,7953
ALL,012054,012055,1,1,0.005155287312963662,0.9761904761904763,161.74255952380955,41,7953
ALL,012055,012054,1,1,0.005155287312963662,0.8541666666666667,161.74255952380955,41,7953
ALL,023080,031124,1,1,0.0061611970325663274,0.9800000000000001,155.8788,49,7953
ALL,031124,023080,1,1,0.0061611970325663274,0.9800000000000001,155.8788,49,7953
ALL,1836BR,74P,1,1,0.005658242172764994,0.9,143.154,45,7953
ALL,74P,1836BR,1,1,0.005658242172764994,0.9,143.154,45,7953
ALL,018095|143124,143122,2,1,0.005406764742864328,1.0,137.1206896551724,43,7953
ALL,143122,018095|143124,1,2,0.005406764742864328,0.7413793103448276,137.1206896551724,43,7953
ALL,013070,013071,1,1,0.007544322897019992,1.0,132.55,60,7953
ALL,013071,013070,1,1,0.007544322897019992,1.0,132.55,60,7953
ALL,013069,013070,1,1,0.007292845467119326,1.0,132.55,58,7953
ALL,013069,013071,1,1,0.007292845467119326,1.0,132.55,58,7953
ALL,013069,013070|013071,1,2,0.007292845467119326,1.0,132.55,58,7953
ALL,013069|013070,013071,2,1,0.007292845467119326,1.0,132.55,58,7953
ALL,013069|013071,013070,2,1,0.007292845467119326,1.0,132.55,58,7953
ALL,013070,013069,1,1,0.007292845467119326,0.9666666666666667,132.55,58,7953
ALL,013070,013069|013071,1,2,0.007292845467119326,0.9666666666666667,132.55,58,7953
ALL,013070|013071,013069,2,1,0.007292845467119326,0.9666666666666667,132.55,58,7953
ALL,013071,013069,1,1,0.007292845467119326,0.9666666666666667,132.55,58,7953
ALL,013071,013069|013070,1,2,0.007292845467119326,0.9666666666666667,132.55,58,7953
ALL,018092|143122,143124,2,1,0.005406764742864328,1.0,126.23809523809523,43,7953
ALL,143124,018092|143122,1,2,0.005406764742864328,0.6825396825396824,126.23809523809523,43,7953
