segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
10,125063,SALES FOLDER BAR CONVENT BERLÍN  MAHOU,3,010-076-10,3,1.0,1,3,8
10,131016,LIBRO THE TASTE OF SPAIN  MAHOU,3,010-076-10,3,1.0,1,3,8
10,122007,BOLSA TELA THE TASTE OF SPAIN  MAHOU,2,010-076-10,3,0.6666666666666666,1,3,8
10,121044,CHAPA NEGRA DUNKEL  MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,121045,CHAPA AZUL MAESTRA MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186033,ETIQUETA DELANTERA 33CL MAESTRA MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186034,ETIQUETA TRASERA BOT33CL MAESTRA MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186035,ETIQUETA CUELLO BOTELLA MAESTRA  MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186036,ETIQUETA DELANTERA BOTELLA DUNKEL MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186037,ETIQUETA TRASERA 33CL DUNKEL MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,186038,ETIQUETA CUELLO BOT 33CL DUNKEL MAHOU,1,010-089-20,3,0.3333333333333333,0,8,8
10,065005,COPA 30CL KÖNIG LUDWIG,1,010-116-20,3,0.3333333333333333,2,2,2
10,128026,SALES FOLDER NEGRO JUEGO DE CATA  LOS CE,1,010-116-20,3,0.3333333333333333,2,2,2
101,1836BR,BALDA PARRILLA 457X914 MM,44,006-032-00,46,0.9565217391304348,0,2,88
101,74P,POSTE DE PARRILLA CROMADO DE 1895MM,44,007-021-00,46,0.9565217391304348,0,2,88
101,DD18C,SEPARADOR PARRILLA,18,006-032-00,46,0.391304347826087,1,5,24
101,86P,POSTE DE PARRILLA CROMADO DE 2200MM,3,006-129-00,46,0.06521739130434782,1,5,24
101,1842BR,BALDA PARRILLA 457X105 MM,1,006-132-20,46,0.021739130434782608,1,5,24
101,1848BR,BALDA PARRILLA 457X120 MM,1,006-128-20,46,0.021739130434782608,1,5,24
101,2436BR,ESTANTE METRO CROMADO 610X914 MM,1,006-130-40,46,0.021739130434782608,1,5,24
102,G000347,PERFIL GUIA DE LONGITUD 347MM,4,006-120-10,7,0.5714285714285714,2,10,27
102,1836BR,BALDA DE PARRILLA 90X45,3,006-122-10,7,0.42857142857142855,2,10,27
102,2604010,CESTA ABS OPACA 600X400X100,3,006-104-10,7,0.42857142857142855,2,10,27
102,3401002,SEPARADOR ABS OPACO 400X100 P/CESTA,3,006-118-10,7,0.42857142857142855,2,10,27
102,86P,POSTE DE PARRILLA,3,006-111-00,7,0.42857142857142855,2,10,27
102,DD18C,SEPARADOR DE PARRILLA,3,006-126-30,7,0.42857142857142855,2,10,27
102,G000001,UNION CENTRAL,3,006-112-10,7,0.42857142857142855,2,10,27
102,Y000001,PIEZA EN FORMA DE Y,3,006-110-10,7,0.42857142857142855,2,10,27
102,4900000,TARJETEROS MMS PARA VINILOS 700 MICRAS,1,006-120-20,7,0.14285714285714285,2,10,27
102,T000001,TORNILLERIA,1,006-120-10,7,0.14285714285714285,2,10,27
102,1065450,SECCION ESTANTERIA MODULAR,2,006-118-00,7,0.2857142857142857,1,9,18
102,1604005,CESTA ABS OPACA 600X400X50,2,006-106-20,7,0.2857142857142857,1,9,18
