segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,011014,CERVEZA 33CL MAHOU 5 ESTRELLAS (633),888,014-152-10,7953,0.11165597887589589,7,6559,40210
ALL,014012,"CERVEZA 33CL MAHOU TOSTADA 0,0 (2751)",752,015-133-30,7953,0.09455551364265057,7,6559,40210
ALL,018000,AGUA 33CL SOLAN PLASTICO CAJA X 36 UND,670,015-143-20,7953,0.08424493901672325,7,6559,40210
ALL,065072,COPA BRUTUS LOGO NEGRO 33CLX6UD,526,014-016-30,7953,0.06613856406387526,7,6559,40210
ALL,012012,CERVEZA 33CL ALHAMBRA RESERVA 1925 (5420,449,015-103-20,7953,0.05645668301269961,7,6559,40210
ALL,126105,POSAVASOS AMBAS CARAS NEGRO BRUTUS,444,019-141-40,7953,0.05582798943794794,7,6559,40210
ALL,014014,CERVEZA 33CL MAHOU SIN GLUTEN (1813),442,015-017-10,7953,0.05557651200804728,7,6559,40210
ALL,061016,COPA 33CL LOGO DORADO 1890  MAHOU EVENTO,317,014-104-30,7953,0.039859172639255626,7,6559,40210
ALL,011026,CERVEZA 33CLMAHOU IPA (3526),310,015-005-30,7953,0.03897900163460329,7,6559,40210
ALL,204000,BASE SOMBRILLA GRIS,300,012-015-00,7953,0.03772161448509996,7,6559,40210
ALL,167004,"BOTELLERO 1,00 X 0,55 X 0,84 m MAHOU",264,015-002-10,7953,0.03319502074688797,7,6559,40210
ALL,011104,CERVEZA 33CL MAHOU SIN FILTRAR (5282),262,020-138-30,7953,0.0329435433169873,7,6559,40210
ALL,084099,CUBITERA NEGRA BRUTUS ENSALADERA PEQUEÑA,261,012-050-20,7953,0.03281780460203697,7,6559,40210
ALL,011105,CERVEZA 33CL MAHOU ROSE (5347),260,015-085-10,7953,0.03269206588708663,7,6559,40210
ALL,018072,AGUA C/GAS DE CRISTAL 33CL SOLANX24UD,231,015-085-10,7953,0.029045643153526972,7,6559,40210
ALL,051085,LUMINOSO LED  LOGO M  MAHOU PEQUEÑO,226,012-040-09,7953,0.028416949578775306,7,6559,40210
ALL,016010,BARRIL 30L MAHOU 5 ESTRELLAS (1593),219,016-017-00,7953,0.027536778574122973,7,6559,40210
ALL,084042,CUBITERA GRANDE NEGRA BRUTUS,215,012-109-40,7953,0.02703382371432164,7,6559,40210
ALL,011030,CERVEZA 33CL MAHOU MAESTRA (2195),213,015-077-30,7953,0.026782346284420975,7,6559,40210
ALL,022043,MESA BLANCA PATA MARRON TERRAZA MAHOU,211,016-041-40,7953,0.026530868854520308,7,6559,40210
ALL,011110,CERVEZA 33CL MAHOU 5 ESTRELLAS  NUEVA IM,208,015-013-20,7953,0.02615365270966931,7,6559,40210
ALL,087004,CUBO BASURA  NEGRO 100L,203,015-054-30,7953,0.025524959134917643,7,6559,40210
ALL,022053,MESA ALTA MAHOU DESDE 1890 (EVENTOS) 60X,202,013-048-20,7953,0.025399220419967308,7,6559,40210
ALL,087037,PAPELERA SOSTENIBILIDAD SOLAN,200,013-103-20,7953,0.02514774299006664,7,6559,40210
ALL,012019,CERVEZA 33CL ALHAMBRA ROJA  (24374),186,015-123-10,7953,0.023387400980761978,7,6559,40210
ALL,018073,LATA 33CL AGUA CON GAS SOLAN PACK 24UD,181,015-091-10,7953,0.02275870740601031,7,6559,40210
ALL,018076,AGUA 50CL PLASTICO T.SOSTENIBLE RECICLAD,181,014-123-20,7953,0.02275870740601031,7,6559,40210
ALL,012040,CERVEZA 33CL ALHAMBRA LAGER SINGULAR,179,015-045-10,7953,0.022507229976109645,7,6559,40210
ALL,022199,MESA CUADRADA MARMOL LOGO BRUTUS 2024,172,200-040-00,7953,0.02162705897145731,7,6559,40210
ALL,032040,TABURETE METAL EVENTOS DESDE 1890 MAHOU,171,011-070-20,7953,0.02150132025650698,7,6559,40210
ALL,012025,CERVEZA 33CL SAN MIGUEL MAGNA (3451),165,015-041-20,7953,0.02074688796680498,7,6559,40210
ALL,012053,"CERVEZA 22,5CL MINI ALHAMBRA RESERVPACK6",158,020-110-20,7953,0.019866716962152645,7,6559,40210
ALL,202022,SOMBRILLA BEIGE 1890 MAHOU (EVENTOS),154,012-002-00,7953,0.019363762102351315,7,6559,40210
ALL,141136,KIT CUADRO SDC DISTRIBUIDORES SOLAN,153,012-063-30,7953,0.01923802338740098,7,6559,40210
ALL,015171,LATA 33CL CERVEZA MAHOU ROSE (5233),152,019-114-40,7953,0.019112284672450647,7,6559,40210
ALL,204082,BASE NEGRA NUEVA 75X75CM,150,021-103-00,7953,0.01886080724254998,7,6559,40210
ALL,087002,CUBO DESAGÜE,149,012-034-20,7953,0.01873506852759965,7,6559,40210
ALL,202068,SOMBRILLA BLANCA CON FALDÓN NEGRO LOGO B,131,020-098-00,7953,0.01647177165849365,7,6559,40210
ALL,129079,TROFEO BOTELLA BRUTUS,126,015-009-40,7953,0.015843078083741986,7,6559,40210
ALL,142003,PLANTA ARTIFICIAL MOD.8,119,012-051-09,7953,0.014962907079089652,7,6559,40210
ALL,014030,"CERVEZA 33CL SAN MIGUEL 0,0 TOSTADA (CAJ",114,015-121-30,7953,0.014334213504337986,7,6559,40210
ALL,022009,MESA MADERA DIRECTOR 2015 SIN LOGO,112,011-014-00,7953,0.01408273607443732,7,6559,40210
ALL,031149,SILLA TEXTILENE NEGRA BRUTUS,110,200-045-00,7953,0.013831258644536652,7,6559,40210
