segment,sku_1,sku_2,sku_3,count_triple,support_triple,n_transactions
ALL,065072,084099,126105,191,0.024016094555513644,7953
ALL,011014,014012,014014,174,0.02187853640135798,7953
ALL,065072,084042,126105,120,0.015088645794039984,7953
ALL,011014,011026,014012,115,0.014459952219288318,7953
ALL,022199,065072,126105,101,0.012699610209983654,7953
ALL,011014,014012,018000,99,0.012448132780082987,7953
ALL,065072,126105,129079,97,0.012196655350182321,7953
ALL,011014,011026,011030,83,0.010436313340877657,7953
ALL,022199,065072,084099,82,0.010310574625927323,7953
ALL,065072,126105,204082,76,0.009556142336225324,7953
ALL,011105,014012,014014,75,0.00943040362127499,7953
ALL,022199,084099,126105,75,0.00943040362127499,7953
ALL,011026,014012,014014,73,0.009178926191374325,7953
ALL,011104,011105,014012,73,0.009178926191374325,7953
ALL,011014,011030,014012,71,0.008927448761473658,7953
ALL,022199,031149,065072,70,0.008801710046523324,7953
ALL,065072,126105,202068,70,0.008801710046523324,7953
ALL,011014,011105,014012,69,0.00867597133157299,7953
ALL,012012,012019,012040,69,0.00867597133157299,7953
ALL,065072,202068,204082,69,0.00867597133157299,7953
ALL,065072,084099,129079,69,0.00867597133157299,7953
ALL,011014,011104,014012,67,0.008424493901672325,7953
ALL,084099,126105,129079,67,0.008424493901672325,7953
ALL,011014,014014,018000,65,0.008173016471771658,7953
ALL,011104,014012,014014,65,0.008173016471771658,7953
ALL,012012,012019,012037,65,0.008173016471771658,7953
ALL,022199,065072,202068,65,0.008173016471771658,7953
ALL,022199,202068,204082,65,0.008173016471771658,7953
ALL,014012,014014,018000,64,0.008047277756821325,7953
ALL,011014,011026,014014,63,0.007921539041870993,7953
ALL,022199,065072,204082,62,0.007795800326920659,7953
ALL,022199,031149,126105,61,0.007670061611970326,7953
ALL,031149,065072,126105,61,0.007670061611970326,7953
ALL,126105,202068,204082,61,0.007670061611970326,7953
ALL,011014,014012,167004,59,0.0074185841820696595,7953
ALL,022199,031149,084099,59,0.0074185841820696595,7953
ALL,013069,013070,013071,58,0.007292845467119326,7953
ALL,065072,084099,204082,58,0.007292845467119326,7953
ALL,011014,011104,011105,57,0.007167106752168993,7953
ALL,011026,011030,014012,57,0.007167106752168993,7953
ALL,022199,126105,204082,57,0.007167106752168993,7953
ALL,022199,126105,202068,57,0.007167106752168993,7953
ALL,011104,011105,014014,56,0.00704136803721866,7953
ALL,031149,065072,084099,56,0.00704136803721866,7953
ALL,065072,084099,202068,54,0.0067898906073179935,7953
ALL,022199,031149,202068,53,0.00666415189236766,7953
ALL,011014,011026,018000,52,0.006538413177417327,7953
ALL,031149,084099,126105,52,0.006538413177417327,7953
ALL,011014,011105,014014,51,0.006412674462466994,7953
ALL,084099,202068,204082,50,0.00628693574751666,7953
ALL,011110,014012,014014,49,0.0061611970325663274,7953
ALL,014012,014014,167004,49,0.0061611970325663274,7953
ALL,018091,018092,018095,49,0.0061611970325663274,7953
ALL,022009,031006,204000,49,0.0061611970325663274,7953
ALL,084099,126105,204082,48,0.006035458317615994,7953
ALL,084099,126105,202068,48,0.006035458317615994,7953
ALL,022199,084099,202068,47,0.00590971960266566,7953
ALL,011014,014012,061016,45,0.005658242172764994,7953
ALL,022199,084099,204082,45,0.005658242172764994,7953
ALL,065072,084042,084099,45,0.005658242172764994,7953
ALL,011014,011104,014014,44,0.005532503457814661,7953
ALL,011030,014012,014014,44,0.005532503457814661,7953
ALL,018091,018092,018093,44,0.005532503457814661,7953
ALL,011013,011014,011030,43,0.005406764742864328,7953
ALL,011014,011030,014014,43,0.005406764742864328,7953
ALL,011014,018000,167004,43,0.005406764742864328,7953
ALL,012012,012037,012040,43,0.005406764742864328,7953
ALL,014012,018000,167004,43,0.005406764742864328,7953
ALL,018091,018092,018094,43,0.005406764742864328,7953
ALL,018091,018093,018094,43,0.005406764742864328,7953
ALL,018092,018093,018094,43,0.005406764742864328,7953
ALL,018092,018095,143122,43,0.005406764742864328,7953
ALL,018092,018095,143124,43,0.005406764742864328,7953
ALL,018092,143122,143124,43,0.005406764742864328,7953
ALL,018095,143122,143124,43,0.005406764742864328,7953
ALL,022199,031149,204082,42,0.005281026027913994,7953
ALL,065072,126105,202062,42,0.005281026027913994,7953
ALL,014012,014014,016010,41,0.005155287312963662,7953
ALL,018092,018094,018095,41,0.005155287312963662,7953
ALL,022043,202022,204000,41,0.005155287312963662,7953
ALL,011014,011024,014012,40,0.005029548598013328,7953
ALL,012019,012037,012040,40,0.005029548598013328,7953
ALL,018092,018093,018095,40,0.005029548598013328,7953
ALL,065072,084042,129079,40,0.005029548598013328,7953
