year,week_iso,week_start_date,week_end_date,salidas_forecast,salidas_2024,salidas_real_2026,recogidas_forecast,recogidas_2024,recogidas_real_2026,pick_lines_forecast,pick_lines_2024,pick_lines_real_2026,cutoff_date,forecast_snapshot_date,year_target,comparison_year
2026,1,2025-12-29,2026-01-04,0.0,1.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,2,2026-01-05,2026-01-11,0.0,82.0,11.0,0.0,12.0,3.0,0.0,179.0,40.0,2026-03-16,2026-03-16,2026,2024
2026,3,2026-01-12,2026-01-18,0.0,111.0,30.0,0.0,14.0,11.0,0.0,213.0,69.0,2026-03-16,2026-03-16,2026,2024
2026,4,2026-01-19,2026-01-25,0.0,130.0,89.0,0.0,19.0,33.0,0.0,412.0,392.0,2026-03-16,2026-03-16,2026,2024
2026,5,2026-01-26,2026-02-01,0.0,122.0,68.0,0.0,26.0,28.0,0.0,201.0,178.0,2026-03-16,2026-03-16,2026,2024
2026,6,2026-02-02,2026-02-08,0.0,90.0,162.0,0.0,16.0,23.0,0.0,233.0,220.0,2026-03-16,2026-03-16,2026,2024
2026,7,2026-02-09,2026-02-15,0.0,96.0,202.0,0.0,20.0,18.0,0.0,401.0,222.0,2026-03-16,2026-03-16,2026,2024
2026,8,2026-02-16,2026-02-22,0.0,141.0,227.0,0.0,35.0,16.0,0.0,327.0,301.0,2026-03-16,2026-03-16,2026,2024
2026,9,2026-02-23,2026-03-01,0.0,175.0,185.0,0.0,19.0,15.0,0.0,327.0,240.0,2026-03-16,2026-03-16,2026,2024
2026,10,2026-03-02,2026-03-08,0.0,120.0,86.0,0.0,20.0,36.0,0.0,615.0,143.0,2026-03-16,2026-03-16,2026,2024
2026,11,2026-03-09,2026-03-15,0.0,240.0,88.0,0.0,23.0,24.0,0.0,337.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,12,2026-03-16,2026-03-22,109.0,174.0,18.0,46.0,19.0,3.0,98.0,312.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,13,2026-03-23,2026-03-29,122.0,53.0,0.0,44.0,6.0,0.0,90.0,132.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,14,2026-03-30,2026-04-05,62.0,90.0,0.0,20.0,12.0,0.0,77.0,349.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,15,2026-04-06,2026-04-12,108.0,124.0,0.0,38.0,25.0,0.0,175.0,538.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,16,2026-04-13,2026-04-19,131.0,128.0,0.0,57.0,25.0,0.0,187.0,481.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,17,2026-04-20,2026-04-26,145.0,103.0,0.0,68.0,39.0,0.0,197.0,416.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,18,2026-04-27,2026-05-03,115.0,54.0,0.0,58.0,16.0,0.0,124.0,130.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,19,2026-05-04,2026-05-10,149.0,164.0,0.0,59.0,24.0,0.0,166.0,564.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,20,2026-05-11,2026-05-17,124.0,249.0,0.0,55.0,30.0,0.0,100.0,586.0,0.0,2026-03-16,2026-03-16,2026,2024
2026,21,2026-05-18,2026-05-24,0.0,22.0,0.0,0.0,11.0,0.0,0.0,163.0,0.0,2026-03-16,2026-03-16,2026,2024
