fecha,eventos_entrega_p50,eventos_entrega_p80,m3_out_p50,m3_out_p80,pales_out_p50,pales_out_p80,cajas_out_p50,cajas_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,eventos_recogida_p50,eventos_recogida_p80,m3_in_p50,m3_in_p80,pales_in_p50,pales_in_p80,cajas_in_p50,cajas_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,picking_movs_esperados_p50,picking_movs_esperados_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80
2026-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,2.0,6.0,4.472516166770103,18.37754100625616,5.0,13.0,9.0,11.0,1618.0567580374088,1994.5749654973183,2.0,5.0,5.817957154079458,9.423118706772652,7.0,24.0,4.0,7.0,1941.5598514978474,4478.963124663409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2026-03-15,2.0,5.0,4.182688043844225,15.535168719156985,4.0,17.0,4.0,9.0,1537.3535375433653,2817.8540816423556,2.0,5.0,5.155205540031458,9.798389454555188,15.0,33.0,3.0,7.0,3623.1131993751715,7656.841447937095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-16,19.0,26.0,40.51642452956733,77.08771609073156,23.0,66.0,28.0,70.0,4038.051731265892,11360.193738333157,9.0,12.0,14.929240533964434,16.724401841260637,22.0,52.0,10.0,18.0,5124.354797998546,15189.600752520351,14.0,45.0,17.0,41.0,18.788331308517375,40.52263688876483,5.0,10.0,15.781961811792476,34.509601199110364,9.33090905436512,14.4312942603672,5.0,8.0
2026-03-17,18.0,27.0,43.02652491543179,78.86561691153085,23.0,65.0,29.0,66.0,4195.997026119651,12074.051710228927,7.0,10.0,10.323843959273722,13.077278725289275,13.0,39.0,8.0,16.0,2954.6924521967885,8994.182903808169,28.0,65.0,14.0,36.0,15.000114435570563,37.0269255575028,6.0,11.0,15.65173406140008,39.685766047990604,9.45059677208965,12.488847777615309,5.0,10.0
2026-03-18,18.0,28.0,37.281726122569594,71.44546817233427,24.0,67.0,29.0,64.0,9123.429876568065,15458.414696448996,7.0,11.0,11.690015848040474,18.445242225427688,14.0,39.0,9.0,15.0,3191.471132250345,10763.741338745494,29.0,48.0,15.0,38.0,10.682313511412882,36.47232772625705,7.0,12.0,9.158551212780313,31.205996729956734,9.611678124764092,13.597170472868076,5.0,10.0
2026-03-19,19.0,28.0,47.072421091647385,68.72189634373511,28.0,70.0,32.0,72.0,11500.14998369467,16448.73371571756,7.0,11.0,11.475164878268412,15.525697381134046,17.0,39.0,9.0,17.0,3364.956649148462,11404.308904497631,30.0,68.0,17.0,43.0,17.357315337044447,54.31456368012361,9.0,16.0,16.678217301714493,52.19004706705835,12.50375767205942,16.45217834799095,3.0,10.0
2026-03-20,19.0,32.0,50.64133644574723,73.31099017386167,34.0,71.0,31.0,83.0,11665.645612895352,16537.686951621712,8.0,15.0,11.616779411490265,15.72959801000342,17.0,37.0,10.0,18.0,3536.523793778996,10899.33076423513,20.0,59.0,15.0,38.0,13.170839997278282,48.72352353422545,9.0,16.0,6.659765671303485,31.489300750589322,11.154563411030496,15.223474252296876,5.0,9.0
2026-03-21,4.0,8.0,4.46789157248545,17.727048758969932,9.0,29.0,8.0,20.0,5903.239600189107,7808.662306030212,4.0,5.0,8.946746078347399,20.143781119555477,10.0,29.0,5.0,11.0,3969.4489155979045,10503.5919731332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2026-03-22,3.0,5.0,3.4018466061935273,12.379222070282928,6.0,18.0,3.0,12.0,3746.299739667003,4632.807952982812,4.0,5.0,9.177128374840569,22.970047362226282,13.0,34.0,5.0,11.0,4065.451500898249,13800.811370592466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-23,19.0,29.0,52.31125488013432,84.58760487227327,33.0,79.0,37.0,74.0,6371.823094026669,13091.053662378503,9.0,12.0,18.804277793670302,24.568824986575564,19.0,50.0,13.0,22.0,5635.282079569739,16718.18282541881,14.0,45.0,44.0,106.0,73.1334016045901,181.24657268873196,24.0,43.0,49.70369191759204,143.7836064442528,33.149951656944204,56.282813023442884,5.0,11.0
2026-03-24,18.0,29.0,54.294606874670194,84.77755295597365,28.0,69.0,36.0,70.0,4715.093542569064,10989.34051974715,6.0,11.0,8.468111213659585,20.536885580783924,10.0,24.0,9.0,16.0,2202.095103627096,8060.569143726277,27.0,65.0,14.0,35.0,20.174021877935832,44.44581347480318,8.0,14.0,21.79864223702455,46.25795309050908,12.013860206646875,22.07609984827132,6.0,14.0
2026-03-25,17.0,27.0,43.04139805418476,71.88910313752142,30.0,53.0,34.0,64.0,7619.378966037274,9531.499560550308,6.0,11.0,11.013015088584604,25.197941030960198,12.0,24.0,11.0,16.0,2805.834260001476,10055.567271963904,28.0,48.0,13.0,31.0,11.678655010467658,39.16587239201233,8.0,14.0,10.473529925373906,35.014579707088195,10.857171512771139,22.88104373405442,7.0,13.0
2026-03-26,18.0,25.0,48.27648816810456,68.92509976778514,32.0,47.0,35.0,64.0,7200.734440126094,8168.290196641439,7.0,9.0,8.051963082752879,19.49604395460979,12.0,20.0,11.0,17.0,1983.7790350540179,5396.2243802675675,29.0,67.0,14.0,31.0,16.84331438212694,52.6867958827356,11.0,18.0,16.212086151637095,50.75156645944953,12.626128238110356,23.153428502492865,5.0,15.0
2026-03-27,19.0,23.0,42.11757896361487,66.9722358279511,34.0,39.0,30.0,62.0,6961.329134346979,9590.787402030664,7.0,10.0,8.406918120523521,22.562480460697582,10.0,17.0,11.0,18.0,1494.4822255301656,4102.211601073328,18.0,58.0,11.0,21.0,12.610709295374868,46.898270563782894,10.0,16.0,6.389668442540503,30.366692984606445,8.736081355040628,21.34522176158384,5.0,14.0
2026-03-28,4.0,6.0,2.9612533371069665,12.367118394826912,9.0,14.0,6.0,12.0,2563.4777317322205,5432.645615688021,4.0,4.0,8.59729830930537,15.685989635946207,6.0,16.0,5.0,10.0,1588.7284408600763,3486.8592318130322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2026-03-29,2.0,4.0,2.6758467496489375,9.204350825428914,6.0,8.0,3.0,8.0,2174.9195168954607,3542.23842569879,2.0,4.0,8.652791546048604,15.416186460330948,7.0,21.0,5.0,10.0,1247.1576869935645,5051.518168007888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-03-30,17.0,24.0,35.40755930232433,68.89815629975921,29.0,41.0,29.0,55.0,5192.955803380247,8298.757051223525,7.0,11.0,15.346483736719225,21.996354046808673,12.0,43.0,13.0,20.0,4576.18740246931,10324.19088029797,13.0,44.0,28.0,59.0,67.24457402711225,167.24501058073938,27.0,43.0,45.342656860420405,130.99119132669594,27.479617823270168,58.72874325422909,5.0,18.0
